년,정점,번호,등급
2000,울산연안,1,2
2000,울산연안,2,2
2000,울산연안,3,3
2000,울산연안,4,5
2000,온산연안,1,4
2000,온산연안,2,2
2000,온산연안,3,2
2000,부산연안,1,3
2000,부산연안,2,3
2000,부산연안,3,3
2000,부산연안,4,3
2000,낙동강하구,1,3
2000,낙동강하구,2,2
2000,행 암 만,1,5
2000,마 산 만,1,5
2000,마 산 만,2,5
2000,진 해 만,1,3
2000,진 해 만,2,3
2000,광 양 만,1,4
2000,광 양 만,2,4
2000,광 양 만,3,4
2000,광 양 만,4,3
2000,광 양 만,5,3
2001,울산연안,1,3
2001,울산연안,2,3
2001,울산연안,3,3
2001,울산연안,4,4
2001,온산연안,1,4
2001,온산연안,2,2
2001,온산연안,3,3
2001,부산연안,1,1
2001,부산연안,2,4
2001,부산연안,3,4
2001,부산연안,4,3
2001,낙동강하구,1,2
2001,낙동강하구,2,2
2001,행 암 만,1,5
2001,마 산 만,1,5
2001,마 산 만,2,5
2001,진 해 만,1,2
2001,진 해 만,2,5
2001,광 양 만,1,3
2001,광 양 만,2,2
2001,광 양 만,3,2
2001,광 양 만,4,2
2001,광 양 만,5,2
2002,울산연안,1,3
2002,울산연안,2,1
2002,울산연안,3,3
2002,울산연안,4,5
2002,온산연안,1,3
2002,온산연안,2,1
2002,온산연안,3,1
2002,부산연안,1,1
2002,부산연안,2,3
2002,부산연안,3,3
2002,부산연안,4,3
2002,낙동강하구,1,2
2002,낙동강하구,2,1
2002,행 암 만,1,5
2002,마 산 만,1,5
2002,마 산 만,2,5
2002,진 해 만,1,1
2002,진 해 만,2,5
2002,광 양 만,1,3
2002,광 양 만,2,2
2002,광 양 만,3,2
2002,광 양 만,4,1
2002,광 양 만,5,1
2003,울산연안,1,2
2003,울산연안,2,2
2003,울산연안,3,2
2003,울산연안,4,3
2003,온산연안,1,2
2003,온산연안,2,1
2003,온산연안,3,1
2003,부산연안,1,1
2003,부산연안,2,3
2003,부산연안,3,2
2003,부산연안,4,3
2003,낙동강하구,1,2
2003,낙동강하구,2,1
2003,행 암 만,1,4
2003,마 산 만,1,4
2003,마 산 만,2,4
2003,진 해 만,1,2
2003,진 해 만,2,3
2003,광 양 만,1,2
2003,광 양 만,2,2
2003,광 양 만,3,2
2003,광 양 만,4,2
2003,광 양 만,5,1
2004,울산연안,1,2
2004,울산연안,2,2
2004,울산연안,3,1
2004,울산연안,4,4
2004,울산연안,5,1
2004,온산연안,1,1
2004,온산연안,2,2
2004,온산연안,3,2
2004,부산연안,1,1
2004,부산연안,2,1
2004,부산연안,3,1
2004,부산연안,4,2
2004,부산연안,5,1
2004,부산연안,6,1
2004,낙동강하구,1,2
2004,낙동강하구,2,2
2004,낙동강하구,3,2
2004,낙동강하구,4,2
2004,행 암 만,1,3
2004,행 암 만,2,3
2004,마 산 만,1,5
2004,마 산 만,2,4
2004,마 산 만,3,4
2004,진 해 만,1,1
2004,진 해 만,2,2
2004,광 양 만,1,2
2004,광 양 만,2,2
2004,광 양 만,3,2
2004,광 양 만,4,2
2004,광 양 만,5,1
2004,광 양 만,6,2
2004,광 양 만,7,2
2004,광 양 만,8,3
2004,광 양 만,9,2
2005,울산연안,1,1
2005,울산연안,2,1
2005,울산연안,3,1
2005,울산연안,4,3
2005,울산연안,5,2
2005,온산연안,1,1
2005,온산연안,2,1
2005,온산연안,3,1
2005,부산연안,1,1
2005,부산연안,2,1
2005,부산연안,3,1
2005,부산연안,4,2
2005,부산연안,5,1
2005,부산연안,6,1
2005,낙동강하구,1,2
2005,낙동강하구,2,2
2005,낙동강하구,3,1
2005,낙동강하구,4,1
2005,행 암 만,1,3
2005,행 암 만,2,3
2005,마 산 만,1,5
2005,마 산 만,2,3
2005,마 산 만,3,4
2005,진 해 만,1,1
2005,진 해 만,2,2
2005,광 양 만,1,3
2005,광 양 만,2,3
2005,광 양 만,3,3
2005,광 양 만,4,1
2005,광 양 만,5,3
2005,광 양 만,6,2
2005,광 양 만,7,2
2005,광 양 만,8,2
2005,광 양 만,9,2
2006,울산연안,1,2
2006,울산연안,2,1
2006,울산연안,3,2
2006,울산연안,4,4
2006,울산연안,5,2
2006,온산연안,1,1
2006,온산연안,2,2
2006,온산연안,3,1
2006,부산연안,1,1
2006,부산연안,2,1
2006,부산연안,3,2
2006,부산연안,4,2
2006,부산연안,5,2
2006,부산연안,6,3
2006,낙동강하구,1,2
2006,낙동강하구,2,3
2006,낙동강하구,3,2
2006,낙동강하구,4,3
2006,신항연안,1,3
2006,신항연안,2,3
2006,행 암 만,1,3
