,년,정점,번호,등급
0,2000,울산연안,1,2
1,2000,울산연안,2,2
2,2000,울산연안,3,3
3,2000,울산연안,4,5
4,2000,온산연안,1,4
5,2000,온산연안,2,2
6,2000,온산연안,3,2
7,2000,부산연안,1,3
8,2000,부산연안,2,3
9,2000,부산연안,3,3
10,2000,부산연안,4,3
11,2000,낙동강하구,1,3
12,2000,낙동강하구,2,2
13,2000,행 암 만,1,5
14,2000,마 산 만,1,5
15,2000,마 산 만,2,5
16,2000,진 해 만,1,3
17,2000,진 해 만,2,3
18,2000,광 양 만,1,4
19,2000,광 양 만,2,4
20,2000,광 양 만,3,4
21,2000,광 양 만,4,3
22,2000,광 양 만,5,3
23,2001,울산연안,1,3
24,2001,울산연안,2,3
25,2001,울산연안,3,3
26,2001,울산연안,4,4
27,2001,온산연안,1,4
28,2001,온산연안,2,2
29,2001,온산연안,3,3
30,2001,부산연안,1,1
31,2001,부산연안,2,4
32,2001,부산연안,3,4
33,2001,부산연안,4,3
34,2001,낙동강하구,1,2
35,2001,낙동강하구,2,2
36,2001,행 암 만,1,5
37,2001,마 산 만,1,5
38,2001,마 산 만,2,5
39,2001,진 해 만,1,2
40,2001,진 해 만,2,5
41,2001,광 양 만,1,3
42,2001,광 양 만,2,2
43,2001,광 양 만,3,2
44,2001,광 양 만,4,2
45,2001,광 양 만,5,2
46,2002,울산연안,1,3
47,2002,울산연안,2,1
48,2002,울산연안,3,3
49,2002,울산연안,4,5
50,2002,온산연안,1,3
51,2002,온산연안,2,1
52,2002,온산연안,3,1
53,2002,부산연안,1,1
54,2002,부산연안,2,3
55,2002,부산연안,3,3
56,2002,부산연안,4,3
57,2002,낙동강하구,1,2
58,2002,낙동강하구,2,1
59,2002,행 암 만,1,5
60,2002,마 산 만,1,5
61,2002,마 산 만,2,5
62,2002,진 해 만,1,1
63,2002,진 해 만,2,5
64,2002,광 양 만,1,3
65,2002,광 양 만,2,2
66,2002,광 양 만,3,2
67,2002,광 양 만,4,1
68,2002,광 양 만,5,1
69,2003,울산연안,1,2
70,2003,울산연안,2,2
71,2003,울산연안,3,2
72,2003,울산연안,4,3
73,2003,온산연안,1,2
74,2003,온산연안,2,1
75,2003,온산연안,3,1
76,2003,부산연안,1,1
77,2003,부산연안,2,3
78,2003,부산연안,3,2
79,2003,부산연안,4,3
80,2003,낙동강하구,1,2
81,2003,낙동강하구,2,1
82,2003,행 암 만,1,4
83,2003,마 산 만,1,4
84,2003,마 산 만,2,4
85,2003,진 해 만,1,2
86,2003,진 해 만,2,3
87,2003,광 양 만,1,2
88,2003,광 양 만,2,2
89,2003,광 양 만,3,2
90,2003,광 양 만,4,2
91,2003,광 양 만,5,1
92,2004,울산연안,1,2
93,2004,울산연안,2,2
94,2004,울산연안,3,1
95,2004,울산연안,4,4
96,2004,울산연안,5,1
97,2004,온산연안,1,1
98,2004,온산연안,2,2
99,2004,온산연안,3,2
100,2004,부산연안,1,1
101,2004,부산연안,2,1
102,2004,부산연안,3,1
103,2004,부산연안,4,2
104,2004,부산연안,5,1
105,2004,부산연안,6,1
106,2004,낙동강하구,1,2
107,2004,낙동강하구,2,2
108,2004,낙동강하구,3,2
109,2004,낙동강하구,4,2
110,2004,행 암 만,1,3
111,2004,행 암 만,2,3
112,2004,마 산 만,1,5
113,2004,마 산 만,2,4
114,2004,마 산 만,3,4
115,2004,진 해 만,1,1
116,2004,진 해 만,2,2
117,2004,광 양 만,1,2
118,2004,광 양 만,2,2
119,2004,광 양 만,3,2
120,2004,광 양 만,4,2
121,2004,광 양 만,5,1
122,2004,광 양 만,6,2
123,2004,광 양 만,7,2
124,2004,광 양 만,8,3
125,2004,광 양 만,9,2
126,2005,울산연안,1,1
127,2005,울산연안,2,1
128,2005,울산연안,3,1
129,2005,울산연안,4,3
130,2005,울산연안,5,2
131,2005,온산연안,1,1
132,2005,온산연안,2,1
133,2005,온산연안,3,1
134,2005,부산연안,1,1
135,2005,부산연안,2,1
136,2005,부산연안,3,1
137,2005,부산연안,4,2
138,2005,부산연안,5,1
139,2005,부산연안,6,1
140,2005,낙동강하구,1,2
141,2005,낙동강하구,2,2
142,2005,낙동강하구,3,1
143,2005,낙동강하구,4,1
144,2005,행 암 만,1,3
145,2005,행 암 만,2,3
146,2005,마 산 만,1,5
147,2005,마 산 만,2,3
148,2005,마 산 만,3,4
149,2005,진 해 만,1,1
150,2005,진 해 만,2,2
151,2005,광 양 만,1,3
152,2005,광 양 만,2,3
153,2005,광 양 만,3,3
154,2005,광 양 만,4,1
155,2005,광 양 만,5,3
156,2005,광 양 만,6,2
157,2005,광 양 만,7,2
158,2005,광 양 만,8,2
159,2005,광 양 만,9,2
160,2006,울산연안,1,2
161,2006,울산연안,2,1
162,2006,울산연안,3,2
163,2006,울산연안,4,4
164,2006,울산연안,5,2
165,2006,온산연안,1,1
166,2006,온산연안,2,2
167,2006,온산연안,3,1
168,2006,부산연안,1,1
169,2006,부산연안,2,1
170,2006,부산연안,3,2
171,2006,부산연안,4,2
172,2006,부산연안,5,2
173,2006,부산연안,6,3
174,2006,낙동강하구,1,2
175,2006,낙동강하구,2,3
176,2006,낙동강하구,3,2
177,2006,낙동강하구,4,3
178,2006,신항연안,1,3
179,2006,신항연안,2,3
180,2006,행 암 만,1,3
181,2006,행 암 만,2,3
182,2006,마 산 만,1,5
183,2006,마 산 만,2,5
184,2006,마 산 만,3,4
185,2006,진 해 만,1,3
186,2006,진 해 만,2,2
187,2006,광 양 만,1,3
188,2006,광 양 만,2,2
189,2006,광 양 만,3,2
190,2006,광 양 만,4,3
191,2006,광 양 만,5,2
192,2006,광 양 만,6,2
193,2006,광 양 만,7,2
194,2006,광 양 만,8,3
195,2006,광 양 만,9,2
196,2007,울산연안,1,2
197,2007,울산연안,2,1
198,2007,울산연안,3,2
199,2007,울산연안,4,2
200,2007,울산연안,5,2
201,2007,온산연안,1,2
