년도,사업명(위치),수거물량 계획(m3),수거물량 실적(m3),정화면적 계획(m2),정화면적 실적(m2),사업기간
2018,포항 동빈내항," 30,950 "," 37,724 "," 25,277 "," 25,277 ",18.3.30 ~ 18.12.14
2018,울산 장생포항," 53,113 "," 66,786 "," 50,604 "," 50,604 ",18.3.30 ~ 18.12.4
2017,여수 구항," 6,627 "," 10,710 "," 8,447 "," 8,447 ",17.5.8 ~ 17.12.3
2017,포항 동빈내항," 27,283 "," 33,369 "," 25,440 "," 25,440 ",17.3.14 ~ 17.12.8
2017,부산 다대포항," 12,269 "," 19,339 "," 39,052 "," 39,052 ",17.4.17 ~ 17.8.31
2017,울산 장생포항," 39,946 "," 54,161 "," 43,473 "," 43,473 ",17.3.14 ~ 17.12.8
2017,진해 행암만," 60,812 "," 58,245 "," 66,012 "," 66,012 ",17.3.14 ~ 17.11.23
2016,진해 행암만(추경)," 92,224 "," 139,210 "," 171,104 "," 171,104 ",16.10.7 ~ 17.8.2
2016,부산 다대포항," 80,012 "," 104,710 "," 188,018 "," 188,018 ",16.3.2 ~ 17.2.26
2016,울산 장생포항," 44,250 "," 59,012 "," 74,076 "," 74,076 ",16.3.2 ~ 16.11.26
2016,진해 행암만," 45,220 "," 68,905 "," 100,300 "," 100,300 ",16.3.2 ~ 16.11.11
2015,울산 장생포항," 25,823 "," 39,117 "," 49,715 "," 49,715 ",15.3.5 ~ 15.12.14
2015,진해 행암만," 43,691 "," 45,925 "," 96,444 "," 96,444 ",15.3.19 ~ 15.12.13
2014,부산 남항," 71,784 "," 92,322 "," 92,597 "," 92,597 ",14.3.10 ~ 14.12.18
2013,울산 방어진항," 68,526 "," 79,114 "," 101,739 "," 101,739 ",13.5.2 ~ 14.4.26
2013,부산 남항," 38,491 "," 51,910 "," 80,938 "," 80,938 ",13.7.8 ~ 14.5.3
2012,울산 방어진항," 13,391 "," 13,391 "," 24,576 "," 24,576 ",12.4.27 ~ 13.5.1
2012,부산 남항," 69,303 "," 69,303 "," 74,198 "," 74,198 ",12.4.6 ~ 13.3.31
2011,여수 신항," 84,951 "," 84,909 "," 197,562 "," 197,562 ",11.7.21 ~ 11.12.21
2011,부산 남항," 17,842 "," 19,694 "," 23,431 "," 23,431 ",11.5.23 ~ 12.1.17
2011,부산 용호만," 28,947 "," 32,389 "," 60,810 "," 60,810 ",11.5.23 ~ 12.1.17
2010,부산 남항," 13,478 "," 14,306 "," 26,945 "," 26,945 ",10.6.30 ~ 10.11.30
2010,부산 용호만," 24,689 "," 20,746 "," 24,571 "," 24,571 ",10.6.30 ~ 10.12.30
2009,부산 남항," 25,310 "," 29,151 "," 50,598 "," 50,598 ",09.11.7 ~ 10.6.26
2009,부산 용호만," 14,636 "," 14,636 "," 18,923 "," 18,923 ",09.12.28 ~ 10.12.23
